က,k
ကပ်ယပ်,kaʔjaʔ
ကပ်ရပ်,kaʔjaʔ
ကပ်ရပ်သည်,kaʔjaʔθi
ကပ်လှူ,kaʔɬu
ကပ်လေးပါး,kaʔlepəါး
ကပ်သည်,kaʔθi
ကပ်သုံးပါး,kaʔθoʊɴpəါး
ကပ်ဦး,kaʔʔuး
ကပ်ဦးသူ,kaʔʔuးθu
ကပွီး,kəpəwi
ကပွဲ,kəpəwɛ
ကပွဲရုံ,kəpəwɛjoʊɴ
ကဖျက်ယဖျက်,kəpʰəjkɛʔjəpʰəjkɛʔ
ကဖီး,kəpʰi
ကဗျစ်ကညစ်,kəbəjɪʔkəɲɪʔ
ကဗျာ,kəbəja
ကဗျာကယာ,kəbəjakəja
ကဗျာစပ်သည်,kəbəjasaʔθi
ကဗျာဆန်သော,kəbəjasʰaɴθɔ
ကဗျာဆရာ,kəbəjasʰəja
ကဗျာဆရာမ,kəbəjasʰəjam
ကဗျာလင်္ကာ,kəbəjalɪɴ္ka
ကဗွီးပင်,kəbəwipɪɴ
ကဘီလူး,kəbilu
ကဘီလူးငါး,kəbiluŋəါး
ကဘုန်းသား,kəboʊɴθa
ကဘုန်းသားခရု,kəboʊɴθakʰəju
ကဘွဲ့ကနွဲ့,kəbəwɛkənəwɛ
ကမ႓ာ့လှည့်ခရီးသည်,kəmə႓a့ɬikʰəjiθi
ကမ႓ာစစ်,kəmə႓asɪʔ
ကမ႓ာရန်,kəmə႓ajaɴ
ကမ႓ာလုံး,kəmə႓aloʊɴ
ကမ႓ာလုံးခြမ်း,kəmə႓aloʊɴt͡ɕʰaɴ
ကမ႓ာလောက,kəmə႓alɔk
ကမကထ,kəməkətʰ
ကမကထပြု,kəməkətʰəpəju
ကမကထလုပ်သည်,kəməkətʰəloʊʔθi
ကမချသင်ရိုး,kəmət͡ɕʰəθɪɴjo
ကမန်းကတန်း,kəmaɴkətaɴ
ကမျဉ်းနံ့သာ,kəməjɪɴnaɴθa
ကမျဉ်းနီ,kəməjɪɴni
ကမျောသောပါး,kəməjɔθɔpəါး
ကမြင်း,kəməjɪɴ
ကမြင်းကြောထ,kəməjɪɴt͡ɕɔtʰ
ကမြင်းထီး,kəməjɪɴtʰi
ကမြင်းမ,kəməjɪɴm
ကမြင်းသည်,kəməjɪɴθi
ကမြိုင်,kəməjaɪɴ
ကမြော,kəməjɔ
ကမြော့,kəməjɔ
ကမာ,kəma
ကမာကျီစပါး,kəmat͡ɕisəpəါး
ကမာခရင်း,kəmakʰəjɪɴ
ကမာခါး,kəmakʰəါး
ကမူ,kəmu
ကမူးကတူး,kəmukətu
ကမူးရှူးတိုး,kəmuʃuto
ကမူးရှူးထိုး,kəmuʃutʰo
ကမူကယူ,kəmukəju
ကမူအစွန်း,kəmuʔəsʊɴ
ကမောက်ကမ,kəmɔkɛʔkəm
ကမဲ,kəmɛ
ကမ္ပည်း,kəmə္pi
ကမ္ပည်းကန်,kəmə္pikaɴ
ကမ္ပည်းတပ်,kəmə္pitaʔ
ကမ္ပည်းထိုးသည်,kəmə္pitʰoθi
ကမ္ပတ်,kəmə္paʔ
ကမ္ပတ်နိဂုံး,kəmə္paʔniɡoʊɴ
ကမ္ပတ်သီး,kəmə္paʔθi
ကမ္ပလာ,kəmə္pəla
ကမ္ပလွေ,kəmə္pələwe
